Edition,Qty,Name,Text,CardType,Faction,Cost,Defense,Role,Notes
Colony Wars,2,Bioformer,"{Gain 3 Combat} <hr> {Scrap}: {Gain 3 Trade}",Base,Blob,4,4,Trade Deck,
Colony Wars,3,Cargo Pod,"{Gain 3 Trade} <hr> {Blob Ally}: {Gain 3 Combat} <hr> {Scrap}: {Gain 3 Combat}",Ship,Blob,3,,Trade Deck,
Colony Wars,1,Leviathan,"{Gain 9 Combat} Draw a card. You may destroy target base. <hr> {Blob Ally}: Acquire a card of cost three or less for free and put it into your hand.",Ship,Blob,8 ,,Trade Deck,
Colony Wars,1,Moonwurm,"{Gain 8 Combat} Draw a card. <hr> {Blob Ally}: Acquire a card of cost two or less for free and put it into your hand.",Ship,Blob,7,,Trade Deck,
Colony Wars,1,Parasite,"{Gain 6 Combat} OR Acquire a card of cost six or less for free. <hr> {Blob Ally}: Draw a card.",Ship,Blob,5,,Trade Deck,
Colony Wars,1,Plasma Vent,"{Gain 4 Combat} When you acquire this card, if you've played a Blob card this turn, you may put this card directly into your hand. <hr> {Scrap}: Destroy target base.",Base,Blob,6,5,Trade Deck,
Colony Wars,3,Predator,"{Gain 4 Combat} <hr> {Blob Ally}: Draw a card.",Ship,Blob,2,,Trade Deck,
Colony Wars,2,Ravager,"{Gain 6 Combat} You may scrap up to two cards that are currently in the trade row.",Ship,Blob,3 ,,Trade Deck,
Colony Wars,3,Stellar Reef,"{Gain 1 Trade} <hr> {Scrap}: {Gain 3 Combat}",Base,Blob,2,3,Trade Deck,
Colony Wars,3,Swarmer,"{Gain 3 Combat} You may scrap a card in the trade row. <hr> {Blob Ally}: {Gain 2 Combat}",Ship,Blob,1,,Trade Deck,
Colony Wars,3,Battle Bot,"{Gain 2 Combat} You may scrap a card in your hand. <hr> {Machine Cult Ally}: {Gain 2 Combat}",Ship,Machine Cult,1,,Trade Deck,
Colony Wars,3,Convoy Bot,"{Gain 4 Combat} You may scrap a card in your hand or discard pile. <hr> {Machine Cult Ally}: {Gain 2 combat}",Ship,Machine Cult,3,,Trade Deck,
Colony Wars,1,Frontier Station,{Gain 2 Trade} OR {Gain 3 Combat},Base,Machine Cult,6,6 Outpost,Trade Deck,
Colony Wars,1,Mech Cruiser,"{Gain 6 Combat} You may scrap a card in your hand or discard pile. <hr> {Machine Cult Ally}: Destroy target base.",Ship,Machine Cult,5,,Trade Deck,
Colony Wars,2,Mining Mech,"{Gain 3 Trade} You may scrap a card in your hand or discard pile. <hr> {Machine Cult Ally}: {Gain 3 combat}",Ship,Machine Cult,4,,Trade Deck,
Colony Wars,3,Repair Bot,"{Gain 2 Trade} You may scrap a card in your discard pile. <hr> {Scrap}: {Gain 2 Combat}",Ship,Machine Cult,2,,Trade Deck,
Colony Wars,1,Stealth Tower,"Until your turn ends, Stealth Tower becomes a copy of any base in play. Stealth Tower has that base's faction in addition to Machine Cult.",Base,Machine Cult,5,5 Outpost,Trade Deck,
