Set,Qty,Name,Text,CardType,Faction,Cost,Defense,Role,Notes
Core Set,1,Battle Blob,"{Gain 8 Combat}
<hr>
{Blob Ally}: Draw a card.
<hr>
{Scrap}: {Gain 4 Combat}",Ship,Blob,6,,Trade Deck,
Core Set,2,Battle Pod,"{Gain 4 Combat}
You may scrap a card in the trade row.
<hr>
{Blob Ally}: {Gain 2 Combat}",Ship,Blob,2,,Trade Deck,
Core Set,1,Blob Carrier,"{Gain 7 Combat}
<hr>
{Blob Ally}: Acquire any ship for free and put it on top of your deck.",Ship,Blob,6,,Trade Deck,
Core Set,2,Blob Destroyer,"{Gain 6 Combat}
<hr>
{Blob Ally}: You may destroy target base and/or scrap a card in the trade row.",Ship,Blob,4,,Trade Deck,
Core Set,3,Blob Fighter,"{Gain 3 Combat}
<hr>
{Blob Ally}: Draw a card.",Ship,Blob,1,,Trade Deck,
Core Set,3,Blob Wheel,"{Gain 1 Combat}
<hr>
{Scrap}: {Gain 3 Trade}",Base,Blob,3,5,Trade Deck,
Core Set,1,Blob World,"{Gain 5 Combat}
OR Draw a card for each Blob card that you've played this turn.",Base,Blob,8,,Trade Deck,
Core Set,1,Mothership,"{Gain 6 Combat}
Draw a card.
<hr>
{Blob Ally}: Draw a card.",Ship,Blob,7,,Trade Deck,
Core Set,2,Ram,"{Gain 5 Combat}
<hr>
{Blob Ally}: {Gain 2 Combat}
<hr>
{Scrap}: {Gain 3 Trade}",Ship,Blob,3,,Trade Deck,
Core Set,1,The Hive,"{Gain 3 Combat}
<hr>
{Blob Ally}: Draw a card.",Base,Blob,5,5,Trade Deck,
Core Set,3,Trade Pod,"{Gain 3 Trade}
<hr>
{Blob Ally}: {Gain 2 Combat}",Ship,Blob,2,,Trade Deck,
Core Set,1,Battle Mech,"{Gain 4 Combat}
You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: Draw a card.",Ship,Machine Cult,5,,Trade Deck,
Core Set,2,Battle Station,{Scrap}: {Gain 5 Combat},Base,Machine Cult,3,5 Outpost,Trade Deck,
Core Set,1,Brain World,Scrap up to two cards from your hand and/or discard pile. Draw a card for each card scrapped this way.,Base,Machine Cult,8,6 Outpost,Trade Deck,
Core Set,1,Junkyard,Scrap a card in your hand or discard pile.,Base,Machine Cult,6,5 Outpost,Trade Deck,
Core Set,1,Machine Base,"Draw a card, then scrap a card from your hand.",Base,Machine Cult,7,6 Outpost,Trade Deck,
Core Set,1,Mech World,Mech World counts as an ally for all factions.,Base,Machine Cult,5,6 Outpost,Trade Deck,
Core Set,3,Missile Bot,"{Gain 2 Combat}
You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: {Gain 2 Combat}",Ship,Machine Cult,2,,Trade Deck,
Core Set,1,Missile Mech,"{Gain 6 Combat}
You may destroy target base.
<hr>
{Machine Cult Ally}: Draw a card.",Ship,Machine Cult,6,,Trade Deck,
Core Set,2,Patrol Mech,"{Gain 3 Trade} OR {Gain 5 Combat}
<hr>
{Machine Cult Ally}: Scrap a card in your hand or discard pile.",Ship,Machine Cult,4,,Trade Deck,
Core Set,1,Stealth Needle,Copy another ship you've played this turn. Stealth Needle has that ship's faction in addition to Machine Cult.,Ship,Machine Cult,4,,Trade Deck,
Core Set,3,Supply Bot,"{Gain 2 Trade}
You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: {Gain 2 Combat}",Ship,Machine Cult,3,,Trade Deck,
Core Set,3,Trade Bot,"{Gain 1 Trade}
You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: {Gain 2 Combat}",Ship,Machine Cult,1,,Trade Deck,
Core Set,1,Battlecruiser,"{Gain 5 Combat} Draw a card.
<hr>
{Star Empire Ally}: Target opponent discards a card.
<hr>
{Scrap}: Draw a card. You may destroy target base.",Ship,Star Empire,6,,Trade Deck,
Core Set,2,Corvette,"{Gain 1 Combat}
Draw a card.
<hr>
{Star Empire Ally}: {Gain 2 Combat}",Ship,Star Empire,2,,Trade Deck,
Core Set,1,Dreadnaught,"{Gain 7 Combat}
Draw a card.
<hr>
{Scrap}: {Gain 5 Combat}",Ship,Star Empire,7,,Trade Deck,
Core Set,1,Fleet HQ,"Whenever you play a ship, gain {1 Combat}",Base,Star Empire,8,8,Trade Deck,"<a href=""https://www.starrealms.com/faq/#errata"">Errata</a> - Only ships played while Fleet HQ is in play gain the 1 combat bonus."
Core Set,3,Imperial Fighter,"{Gain 2 Combat}
Target opponent discards a card.
<hr>
{Star Empire Ally}: {Gain 2 Combat}",Ship,Star Empire,1,,Trade Deck,
